537,2024227,"2 Coelhos",2012,7.4,1335344.5,30,3259
543,2024261,"2 Fast 2 Furious",2003,5.7,76000000.0,1,137594
544,2024261,"2 Fast 2 Furious",2003,5.7,76000000.0,8,137594
545,2024268,"2 Filhos de Francisco: A História de Zezé di Camargo & Luciano",2005,7,2251009.3,5,2065
546,2024268,"2 Filhos de Francisco: A História de Zezé di Camargo & Luciano",2005,7,2251009.3,10,2065
547,2024268,"2 Filhos de Francisco: A História de Zezé di Camargo & Luciano",2005,7,2251009.3,17,2065
551,2024304,"2 Guns",2013,6.8,61000000.0,1,120286
552,2024304,"2 Guns",2013,6.8,61000000.0,6,120286
553,2024304,"2 Guns",2013,6.8,61000000.0,8,120286
554,2024304,"2 Guns",2013,6.8,61000000.0,10,120286
555,2024304,"2 Guns",2013,6.8,61000000.0,30,120286
578,2024659,"20 Dates",1998,5.3,60000.0,5,1616
579,2024659,"20 Dates",1998,5.3,60000.0,6,1616
580,2024659,"20 Dates",1998,5.3,60000.0,25,1616
595,2024744,"20 Years After",2008,3.3,1000000.0,10,1328
596,2024744,"20 Years After",2008,3.3,1000000.0,14,1328
597,2024744,"20 Years After",2008,3.3,1000000.0,26,1328
607,2024793,"20-seiki shônen: Honkaku kagaku bôken eiga",2008,6.7,20000000.0,3,1832
608,2024793,"20-seiki shônen: Honkaku kagaku bôken eiga",2008,6.7,20000000.0,14,1832
609,2024793,"20-seiki shônen: Honkaku kagaku bôken eiga",2008,6.7,20000000.0,22,1832
610,2024793,"20-seiki shônen: Honkaku kagaku bôken eiga",2008,6.7,20000000.0,26,1832
613,2024822,"200 Cigarettes",1999,5.8,6000000.0,6,12200
614,2024822,"200 Cigarettes",1999,5.8,6000000.0,10,12200
615,2024822,"200 Cigarettes",1999,5.8,6000000.0,25,12200
616,2024831,"200 Motels",1971,5.9,679000.0,6,1436
617,2024831,"200 Motels",1971,5.9,679000.0,14,1436
618,2024831,"200 Motels",1971,5.9,679000.0,20,1436
621,2024892,"20000 Leagues Under the Sea",1954,7.2,5000000.0,3,19060
622,2024892,"20000 Leagues Under the Sea",1954,7.2,5000000.0,10,19060
623,2024892,"20000 Leagues Under the Sea",1954,7.2,5000000.0,13,19060
624,2024892,"20000 Leagues Under the Sea",1954,7.2,5000000.0,14,19060
625,2024892,"20000 Leagues Under the Sea",1954,7.2,5000000.0,26,19060
626,2024913,"2001 Maniacs",2005,5.4,3000000.0,6,9508
627,2024913,"2001 Maniacs",2005,5.4,3000000.0,18,9508
628,2024935,"2001 Yonggary",1999,2.6,9260000.0,1,1295
629,2024935,"2001 Yonggary",1999,2.6,9260000.0,14,1295
630,2024935,"2001 Yonggary",1999,2.6,9260000.0,18,1295
631,2024935,"2001 Yonggary",1999,2.6,9260000.0,26,1295
632,2024939,"2001: A Space Odyssey",1968,8.3,10500000.0,22,321542
633,2024939,"2001: A Space Odyssey",1968,8.3,10500000.0,26,321542
634,2024940,"2001: A Space Travesty",2000,3.2,45000000.0,6,8620
635,2024940,"2001: A Space Travesty",2000,3.2,45000000.0,26,8620
642,2025379,"2009: Lost Memories",2002,6.2,7000000.0,1,2828
643,2025379,"2009: Lost Memories",2002,6.2,7000000.0,10,2828
644,2025379,"2009: Lost Memories",2002,6.2,7000000.0,22,2828
645,2025379,"2009: Lost Memories",2002,6.2,7000000.0,26,2828
646,2025379,"2009: Lost Memories",2002,6.2,7000000.0,30,2828
649,2025383,2010,1984,6.8,28000000.0,22,36359
650,2025383,2010,1984,6.8,28000000.0,26,36359
651,2025383,2010,1984,6.8,28000000.0,30,36359
656,2025533,2012,2009,5.8,200000000.0,1,229360
657,2025533,2012,2009,5.8,200000000.0,3,229360
658,2025533,2012,2009,5.8,200000000.0,26,229360
668,2025709,"2016: Obama's America",2012,5.1,2500000.0,9,8306
