Director,Rating
271145,5.05
271547,5.8
271766,6.48
272471,4.4
273374,6.85
273826,5.15
274133,5.4
274206,8.8
274429,7.4
274514,4.5
274688,7.1
275955,6.0
276430,5.25
276530,6.75
277084,6.5
277882,7.4
278088,4.9
278108,7.59
278335,7.0
278567,6.4
278784,8.3
278958,6.7
279093,5.5
279893,7.4
280201,5.3
280238,5.3
280605,7.1
280901,2.8
281479,7.17
282505,6.5
282910,5.6
283107,5.4
283881,6.6
283885,4.9
284038,3.1
284216,7.1
284241,6.5
284334,7.6
284446,7.7
284673,5.6
285067,7.9
285155,6.65
285305,4.25
286074,5.13
286087,6.7
286226,6.3
286501,6.9
286684,4.1
286747,6.8
286808,4.1
286835,4.9
287619,4.8
287648,7.45
288069,4.35
288375,7.2
288477,6.8
289381,5.9
289678,4.87
290437,6.23
291058,6.59
291530,6.0
291685,5.65
293272,5.7
294361,6.5
294653,7.42
294655,6.88
295680,5.4
296202,7.4
297241,4.3
297403,6.7
297437,6.58
297470,5.45
297602,5.7
298071,3.3
298105,4.2
298830,3.8
299268,5.4
299661,5.88
299790,6.55
299953,3.2
300210,6.9
300238,5.8
300241,6.1
300255,6.6
300651,7.4
300977,7.05
302133,6.1
302477,6.8
302582,6.1
303016,4.5
303019,6.03
303463,4.82
304169,6.7
304214,5.7
305923,6.6
306051,6.97
306090,6.3
306433,6.9
306585,6.4
306771,6.1
307029,6.8
308801,4.5
309077,5.7
309312,6.35
309525,7.4
309575,5.92
309634,6.85
309952,6.25
310132,7.13
310215,6.3
310914,7.0
311048,6.0
311217,3.4
311258,5.3
311456,4.7
311999,7.5
312090,3.7
312575,4.05
312601,6.2
312795,5.6
312836,7.97
313105,5.6
313322,5.3
313895,5.3
314532,6.82
314652,6.3
314948,5.7
314952,5.2
315304,4.9
315508,5.9
315784,8.1
316072,6.4
316297,6.4
316781,7.7
317086,7.3
317093,6.5
317408,6.6
318046,7.1
318112,8.5
318135,8.1
318231,4.8
318399,5.6
318558,5.4
318972,7.9
319026,5.3
319324,6.6
319622,6.0
319672,7.4
320164,6.8
320355,4.5
320426,6.7
320630,4.7
320725,6.8
320942,7.7
321518,5.27
322327,6.8
322839,7.1
323116,3.9
323817,5.0
324242,3.5
324498,6.9
324506,6.8
324931,8.1
325062,5.9
325204,6.4
325459,4.6
325687,6.75
325744,6.1
325896,7.0
325917,6.1
326162,2.8
326763,7.6
327073,5.9
327298,6.9
327697,6.8
328240,7.2
328374,7.57
328493,6.8
328836,7.45
329455,6.2
329684,7.8
329733,2.3
330304,6.7
330408,6.97
330649,6.3
330761,6.8
330800,6.0
331217,6.4
331218,3.8
331282,5.0
331311,6.8
331345,5.98
331794,4.5
331966,6.7
332248,5.7
332797,4.92
332954,4.65
333830,5.8
333925,5.1
334344,5.6
334616,6.6
334733,7.5
334972,7.4
335014,2.8
336104,5.8
336140,6.2
336165,7.22
336325,7.0
337493,5.4
338930,5.78
339027,5.0
339111,5.4
339565,4.02
339873,6.6
339995,6.75
340932,7.7
341083,5.5
341222,4.8
341398,5.1
341612,3.7
342049,6.63
342233,6.4
342296,5.6
342490,7.55
342507,5.2
342522,6.25
342565,5.8
342666,3.9
342773,2.8
342871,4.05
343103,6.6
343568,7.6
343759,6.7
344046,5.3
344193,3.9
344233,7.25
345137,6.8
345143,6.5
345339,7.7
345522,7.4
345720,6.2
345772,6.8
346025,4.2
346098,5.85
346527,7.9
346568,5.1
346873,3.8
347561,7.0
349160,7.47
349171,7.49
349531,7.6
349827,7.2
349828,5.7
350212,5.6
350308,6.7
350634,5.16
350834,4.6
350879,4.4
350938,5.82
351265,8.1
351393,7.6
351525,5.0
352215,5.4
352549,4.3
352943,6.9
353056,6.2
354071,6.5
354745,6.6
354746,6.3
355096,6.28
356647,5.2
357213,6.1
357347,5.8
357367,6.02
357445,2.4
358494,7.2
358534,6.67
358607,5.5
359417,4.6
359939,6.2
360247,5.8
360613,6.2
360654,6.2
361143,5.6
361145,6.5
361186,6.4
361330,3.8
361649,3.0
361738,7.85
361793,7.9
362250,4.27
362334,6.2
362440,6.1
362686,6.0
362828,3.4
363110,3.4
363215,5.7
363290,6.1
365022,6.78
365122,2.4
365433,6.35
365475,5.0
365878,4.0
366891,5.6
367102,5.5
368433,7.38
368688,6.8
368745,6.45
369694,3.7
369704,6.96
369748,6.4
369905,6.12
369993,4.2
370349,7.05
370511,5.8
370581,5.4
371752,4.9
371949,6.1
372075,5.31
372086,5.3
372275,6.4
372555,5.4
372559,4.2
372859,6.6
374027,6.38
375205,7.0
375213,6.5
375374,6.5
375379,6.6
375705,6.59
376053,6.35
376927,6.67
377108,6.9
377389,6.4
377390,6.4
377579,5.3
377594,7.13
377726,6.5
377898,4.8
377913,6.3
377998,6.6
378034,5.3
378494,7.7
379118,7.2
379474,4.3
379563,7.4
379958,7.0
380227,7.2
380275,4.6
380301,7.4
380498,5.2
380882,5.75
381047,4.45
381134,5.1
381231,7.4
381673,7.5
381738,6.73
381828,3.6
381855,7.3
382076,3.2
382139,6.17
382471,6.6
383097,6.5
383492,3.7
383602,7.2
383603,5.0
384289,6.3
384502,5.9
385320,5.92
386243,6.5
386344,3.5
386533,3.4
386589,5.0
387009,5.9
387524,6.85
387574,7.6
387593,6.23
388105,8.1
388453,6.0
388463,4.2
388758,6.4
389319,6.23
389449,6.63
389551,6.59
389834,5.5
389840,5.5
390311,6.9
390552,7.7
391448,7.2
391495,7.13
391771,6.9
392121,6.4
392740,3.9
393764,6.6
394260,6.65
394320,7.4
394429,6.7
394477,7.61
394479,6.5
394591,5.5
394796,5.85
395234,6.77
395488,7.2
395660,7.05
396395,3.4
396602,4.8
396769,6.74
397146,5.9
397208,5.7
397266,4.1
397529,7.1
397882,5.27
398524,6.4
398537,6.4
398643,6.3
398759,6.43
398950,6.8
399685,6.2
399732,5.6
399992,7.7
400042,7.0
400110,2.1
400147,7.11
400693,5.9
400925,7.0
401319,8.1
401331,6.9
402763,6.13
402788,5.7
402999,7.0
403183,7.0
403216,3.0
403466,4.3
403910,7.9
405047,5.8
405140,4.4
405295,6.9
405377,7.0
405384,6.4
405729,7.4
406130,6.3
406198,8.0
406949,7.5
407092,5.65
407249,6.71
407785,6.6
408137,4.3
408608,7.63
409067,5.1
409151,5.5
410254,5.6
410860,5.7
410889,6.3
410942,5.85
411367,6.6
411430,6.9
411705,6.8
412056,6.7
412159,7.6
413085,5.0
413355,3.1
413639,7.25
414007,7.0
414024,7.45
414451,6.9
414499,5.7
414748,6.5
414883,6.31
415271,3.2
415429,7.66
415824,7.6
415826,7.6
416175,4.55
416603,6.8
417174,4.6
418084,7.1
418116,6.7
419434,6.9
419477,6.6
419817,5.65
420709,3.8
421017,5.9
422082,7.1
422522,6.21
423346,6.9
424226,5.95
424868,6.8
425107,6.5
426149,5.3
426169,3.0
426314,6.6
426376,3.7
427292,4.5
427301,6.2
427790,6.1
427820,6.07
427993,7.2
428249,6.5
428462,6.5
428600,6.7
428969,6.4
429073,4.6
429348,5.1
430087,4.2
430247,5.6
430545,4.4
430555,6.0
430640,7.4
431603,6.73
431623,6.7
431736,7.1
432168,4.5
432692,6.76
432834,5.85
433285,4.8
433710,4.7
433836,6.6
434259,4.8
434391,6.6
434558,6.6
434617,6.3
434915,5.95
435343,7.25
435534,6.56
435691,6.54
435727,6.8
436178,5.7
436234,6.2
436369,8.0
436832,4.2
436857,6.7
437304,3.7
437535,7.1
438132,6.4
439398,7.4
439884,4.9
439910,6.3
440350,8.0
440424,3.7
440584,7.8
441253,7.8
441306,4.65
441690,3.44
442646,3.1
442748,3.1
443515,7.7
443752,8.1
443798,2.77
444402,5.93
444915,6.6
445529,6.83
445662,6.0
445671,7.03
445810,4.0
446188,5.1
446417,5.7
447938,5.7
448140,6.15
448221,2.7
448393,5.8
449344,3.8
449964,6.1
450373,6.2
450769,6.8
450837,6.0
450930,6.73
451095,6.1
451233,6.5
451235,6.97
451306,6.05
452355,4.8
452629,4.6
452651,6.7
453579,5.4
453627,6.5
453895,3.9
454048,5.4
454196,7.4
454200,4.2
454345,5.9
454474,5.2
454703,7.7
454813,2.7
455499,6.33
456279,3.1
456454,5.5
457305,6.0
457663,6.4
457729,3.8
458132,5.88
458160,7.1
458744,5.0
458888,8.4
459110,4.2
459292,6.36
459787,7.2
460452,4.6
460617,5.45
460869,7.4
461123,4.5
461471,6.2
461929,7.0
462200,4.43
462317,7.9
462644,6.4
464522,7.9
464674,7.2
464712,5.7
465289,6.57
465650,5.92
466312,5.5
467032,7.8
467404,6.79
467868,6.9
469184,7.1
469188,5.7
469223,6.0
469758,6.2
470316,5.3
470497,6.67
471200,4.4
471300,4.7
471433,7.8
471913,5.2
472068,7.5
472236,4.8
472248,6.3
472540,6.85
472855,5.9
473417,4.7
473817,3.8
474388,7.0
474505,6.5
474516,6.0
474692,6.6
474710,7.8
474723,6.3
474917,7.9
474929,6.65
475447,5.2
475581,6.5
475676,5.8
476274,8.2
476337,6.9
477004,5.4
477014,6.5
477509,4.0
477634,5.9
477873,6.8
478013,3.9
478465,7.25
478648,4.3
479077,5.6
480159,6.9
481019,3.7
481319,6.79
481737,7.0
481780,7.14
482378,5.2
482430,4.6
482556,5.0
482571,5.95
482584,7.13
483014,5.2
483037,6.9
483162,4.1
484211,4.1
484771,6.7
484778,5.8
484780,7.63
485318,6.0
485475,6.55
485670,6.8
485761,7.8
485858,5.2
485957,6.3
485980,7.2
486442,7.7
486671,6.4
486681,6.1
486800,6.0
486971,3.6
487018,5.58
487374,6.48
487696,3.6
487896,6.1
488246,7.5
488405,6.15
488504,7.2
488611,5.5
489400,6.8
489569,7.8
489584,7.4
489770,5.0
490528,6.55
490778,7.1
491482,7.4
491829,6.0
492150,7.4
492637,6.0
492757,5.5
492785,5.2
493976,6.2
494234,6.0
494361,4.7
494538,2.2
494670,6.1
494873,5.3
495026,7.8
496447,5.9
496879,6.0
497597,7.0
497756,6.6
498170,7.15
498373,6.4
498409,5.72
498806,5.6
498819,5.63
498999,6.24
499190,5.5
499217,6.44
499447,7.4
499649,6.8
500162,6.0
500197,6.5
501468,6.2
502399,6.97
502531,7.6
502657,5.25
502820,7.4
502946,4.4
502950,4.4
502967,7.0
502979,6.25
503232,7.5
503286,6.4
503288,6.4
503933,7.25
505038,4.8
505590,5.85
505607,5.1
505834,1.9
506195,7.1
506329,6.25
506591,5.2
506755,5.2
506888,7.2
507001,7.2
507216,6.6
507243,7.1
507317,6.96
508170,7.0
508286,5.7
508366,6.0
508632,7.1
508735,5.8
509183,6.7
509296,6.8
509391,7.0
509545,6.13
509581,6.65
509702,2.1
510977,4.8
511066,5.4
511448,6.45
511550,4.5
511752,4.75
511778,3.6
511976,7.13
512266,3.45
512988,6.2
513312,7.1
513515,5.9
513557,6.0
514448,6.25
515160,7.0
515474,5.7
515656,8.4
515718,6.3
516326,6.26
516495,6.6
516646,6.2
516717,6.7
517225,4.9
517653,6.6
517760,5.9
519158,6.65
519336,5.6
519884,6.7
520202,6.1
520278,6.5
520375,7.65
520473,7.6
520629,6.5
521023,3.9
521144,6.3
521613,6.8
521712,6.6
522085,3.1
522560,7.2
522618,6.05
522807,8.2
523478,6.1
523661,2.4
524173,5.8
524199,5.9
524206,5.1
524470,4.4
525197,6.7
525222,4.3
525396,5.2
525945,8.2
526711,5.47
526715,4.8
527023,5.48
527567,5.5
528187,5.5
529262,5.9
529543,7.7
530522,6.04
531007,7.5
531287,6.6
531491,5.8
531707,5.5
531954,7.7
531982,4.3
532588,7.7
532672,6.2
534025,6.4
534251,7.0
534725,4.2
535329,8.0
535602,7.5
535857,5.5
536432,5.8
536554,5.5
536625,5.0
536740,5.4
536866,6.7
536918,7.1
537426,7.2
537488,7.1
538136,6.1
538583,5.8
538746,4.2
540171,6.8
540912,4.0
541919,7.1
541933,6.4
541993,7.0
543077,8.79
543334,5.6
544368,6.9
544529,6.1
544692,7.8
544797,3.45
544868,1.9
545018,6.27
545457,2.7
546781,6.07
546812,6.6
547672,7.2
547690,6.7
547978,7.8
548032,7.2
548050,8.3
548427,7.2
549186,7.3
549437,6.55
549836,5.6
549909,7.1
550486,7.1
550499,7.1
550603,7.8
550766,6.0
551294,6.67
551415,7.8
551575,4.7
552170,5.2
552241,4.2
553022,5.8
553316,5.1
553514,6.8
