Actor,Rating
529713,6.8
529747,5.7
529751,4.6
529755,5.1
529756,4.8
529767,4.5
529770,5.6
529777,6.0
529809,5.1
529810,6.01
529814,7.4
529817,6.9
529825,5.8
529844,6.27
529845,4.3
529847,5.75
529858,5.7
529861,7.4
529865,6.4
529882,7.1
529883,5.6
529887,6.95
529898,7.1
529903,2.6
529907,5.9
529918,5.27
529919,5.13
529931,5.5
529936,6.8
529969,7.1
529971,8.0
529974,6.8
529978,6.9
529981,7.9
530002,7.4
530011,7.8
530027,6.5
530028,6.8
530040,6.55
530051,6.12
530052,6.77
530061,6.9
530068,6.13
530072,8.3
530089,7.45
530098,7.7
530125,6.8
530134,6.5
530140,6.4
530141,7.3
530159,5.05
530165,6.6
530167,6.2
530171,6.6
530191,7.1
530194,3.2
530222,7.1
530230,7.5
530234,6.6
530238,5.9
530240,5.9
530282,6.9
530284,4.5
530288,6.9
530307,6.65
530328,7.1
530353,5.5
530359,5.1
530367,2.5
530373,6.2
530404,5.6
530433,5.5
530439,5.5
530455,4.2
530460,7.16
530481,6.65
530495,7.5
530509,7.2
530520,6.85
530522,5.7
530541,6.0
530559,5.57
530579,6.0
530581,7.1
530590,4.07
530594,5.2
530598,6.8
530606,5.9
530611,7.2
530612,7.15
530614,6.55
530630,5.93
530646,8.4
530674,7.0
530693,6.35
530706,6.2
530714,6.6
530722,7.25
530742,6.7
530754,6.0
530773,6.35
530778,6.7
530779,6.6
530788,7.75
530789,7.1
530793,7.5
530796,6.53
530799,6.4
530800,6.1
530801,6.77
530802,6.4
530817,7.2
530818,6.4
530819,6.4
530828,5.1
530831,5.9
530832,6.8
530838,6.0
530842,7.3
530861,3.2
530884,6.7
530887,5.2
530888,5.6
530894,6.7
530922,6.13
530923,7.5
530938,7.5
530951,6.2
530958,4.9
530964,6.0
530974,6.5
530982,7.0
530989,6.5
530994,6.8
531007,7.5
531033,6.1
531034,7.2
531043,7.0
531064,7.5
531067,5.1
531070,6.0
531074,4.6
531078,6.4
531115,5.8
531152,6.72
531159,5.9
531170,3.4
531202,6.33
531211,5.6
531215,6.4
531216,4.8
531244,6.0
531252,4.8
531260,5.63
531268,7.2
531274,4.0
531276,6.9
531285,6.5
531287,6.6
531323,6.8
531326,6.3
531331,4.2
531341,5.8
531352,6.3
531354,7.3
531360,5.2
531364,7.2
531390,7.8
531398,6.3
531413,5.3
531452,6.6
531453,6.08
531454,6.15
531486,6.2
531494,5.0
531546,4.3
531547,6.5
531559,5.5
531582,6.4
531590,6.3
531592,6.1
531599,4.9
531649,7.3
531650,5.1
531655,6.1
531659,4.3
531668,5.3
531670,6.0
531684,4.9
531698,6.9
531713,7.6
531722,6.9
531727,7.3
531729,3.2
531736,6.2
531743,7.2
531744,6.7
531765,8.3
531771,6.2
531772,4.4
531784,7.05
531790,5.6
531797,5.05
531823,6.5
531824,7.63
531825,2.3
531827,2.3
531831,7.0
531834,7.5
531840,6.8
531849,5.0
531869,6.2
531904,7.1
531909,7.1
531933,4.0
531946,6.45
531951,7.0
531958,6.9
531962,4.9
531967,6.7
531973,6.77
531982,8.0
531994,6.9
532012,8.1
532021,5.0
532040,6.9
532044,7.4
532059,7.4
532100,7.2
532106,5.3
532120,8.2
532125,4.8
532144,6.45
532160,6.0
532166,6.0
532167,5.5
532173,6.4
532192,5.7
532197,8.2
532207,7.5
532234,5.1
532251,9.0
532255,7.1
532257,7.6
532274,5.4
532276,2.6
532309,4.95
532328,9.0
532333,6.1
532335,7.1
532344,5.9
532348,7.4
532358,6.67
532369,6.7
532380,7.6
532382,4.9
532417,7.0
532418,6.1
532424,7.9
532433,7.8
532440,7.8
532443,7.0
532445,6.85
532455,6.9
532461,6.2
532469,6.4
532475,7.15
532481,6.4
532503,6.45
532506,7.4
532513,3.7
532524,6.5
532525,6.1
532535,5.5
532546,5.1
532555,5.5
532558,7.47
532584,3.8
532615,6.45
532618,6.4
532630,4.8
532645,4.9
532651,5.5
532659,3.8
532660,7.2
532678,6.9
532682,7.4
532686,4.8
532687,4.8
532693,6.65
532732,7.2
532733,6.6
532737,5.0
532742,5.2
532747,6.0
532761,7.6
532762,6.03
532768,6.2
532784,6.03
532826,5.7
532836,3.1
532847,7.3
532876,7.3
532879,6.2
532888,7.15
532912,7.0
532914,7.1
532919,7.2
532924,6.9
532931,3.8
532938,8.0
532941,6.6
532949,6.5
532961,7.7
532982,6.17
532993,2.9
532995,7.2
532997,5.8
533011,5.73
533020,4.65
533021,5.5
533024,5.6
533025,2.8
533026,5.6
533028,6.15
533036,6.1
533042,7.4
533057,7.0
533060,7.4
533065,6.3
533066,7.45
533076,7.6
533102,5.9
533113,6.35
533114,3.6
533115,6.7
533121,5.23
533123,6.7
533125,5.32
533129,6.1
533130,5.2
533131,7.2
533147,5.84
533154,7.2
533171,6.5
533172,7.33
533205,6.9
533221,5.3
533226,6.8
533232,6.4
533235,6.1
533236,5.95
533249,5.3
533267,7.9
533272,7.0
533275,6.3
533281,6.7
533283,7.0
533284,5.5
533337,5.47
533341,6.4
533345,6.7
533347,6.12
533373,7.0
533374,7.0
533385,4.1
533388,6.2
533393,6.3
533398,6.3
533434,7.59
533440,7.4
533453,7.1
533470,6.6
533485,5.8
533491,6.95
533492,6.53
533496,7.8
533517,6.59
533536,5.4
533548,5.4
533555,6.9
533568,5.4
533569,4.6
533584,6.4
533587,6.6
533594,4.2
533603,3.6
533614,5.0
533616,6.8
533627,5.3
533630,5.8
533637,6.15
533638,7.03
533685,5.2
533694,5.2
533697,4.5
533701,6.2
533706,6.7
533721,6.7
533742,4.95
533796,6.3
533809,6.0
533833,7.0
533839,6.38
533848,6.9
533899,5.6
533903,6.42
533913,8.3
533915,5.7
533920,7.4
533952,6.3
533957,6.7
533991,6.9
533997,6.9
534003,6.7
534017,6.0
534032,6.0
534044,3.6
534046,5.4
534060,7.9
534072,7.2
534083,7.2
534091,4.45
534094,7.3
534097,7.57
534103,7.8
534110,6.6
534129,4.0
534170,4.75
534197,5.9
534198,5.6
534209,6.8
534216,7.23
534243,8.4
534249,6.26
534251,6.69
534261,5.84
534263,5.8
534286,5.4
534291,8.0
534308,6.53
534316,7.3
534319,6.45
534322,6.8
534329,7.2
534354,7.0
534370,3.5
534371,7.4
534381,7.4
534403,5.9
534404,5.41
534405,6.63
534406,6.57
534407,5.8
534408,5.93
534410,5.07
534411,6.2
534416,8.0
534423,5.9
534434,5.9
534435,6.4
534441,7.8
534456,6.32
534458,6.05
534470,6.5
534480,3.0
534505,7.52
534517,5.85
534520,3.3
534545,4.8
534549,2.87
534550,5.71
534553,7.4
534555,5.72
534559,5.6
534577,7.1
534582,5.8
534601,5.97
534610,7.07
534622,6.4
534623,6.4
534624,6.9
534655,6.5
534680,6.0
534685,5.85
534687,5.9
534692,6.8
534696,5.6
534719,8.0
534730,6.41
534733,5.8
534738,4.2
534751,5.23
534767,6.5
534791,7.4
534806,7.1
534807,6.5
534809,7.6
534819,7.8
534826,7.3
534834,5.2
534843,7.3
534850,5.7
534854,7.0
534857,6.75
534864,7.1
534878,4.2
534886,5.5
534903,6.0
534906,5.5
534915,6.8
534922,8.0
534934,7.2
534944,5.5
534951,5.6
534974,7.1
534975,5.2
534992,7.2
534996,4.2
535038,5.8
535043,7.0
535045,6.47
535046,3.1
535051,6.7
535065,7.2
535069,4.5
535070,6.8
535083,7.1
535085,8.3
535088,6.4
535092,4.9
535108,4.7
535145,8.2
535159,5.7
535160,6.1
535173,2.4
535185,7.7
535199,6.5
535200,6.4
535204,7.3
535212,5.17
535233,5.4
535237,4.8
535243,6.9
535259,6.58
535280,7.3
535294,8.2
535303,8.0
535306,8.0
535308,7.9
535318,8.0
535319,7.2
535329,8.0
535340,7.0
535376,5.65
535381,5.7
535389,6.6
535398,8.2
535439,6.2
535444,4.1
535451,6.4
535453,6.1
535454,7.1
535456,6.4
535467,7.9
535474,5.9
535486,5.5
535489,8.4
535491,5.9
535520,6.3
535524,6.15
535542,6.3
535558,6.5
535561,6.0
535563,6.6
535567,6.87
535569,6.2
535583,6.2
535600,5.7
535625,6.5
535627,5.7
535630,8.0
535638,8.0
535660,6.2
535671,7.1
535677,5.27
535678,4.5
535732,4.75
535742,6.13
535749,5.5
535757,6.7
535771,6.6
535775,5.03
535816,4.6
535823,6.8
535824,4.85
535829,6.5
535834,6.4
535837,2.0
535840,6.2
535845,7.4
535856,5.4
535864,2.9
535866,4.2
535870,7.1
535871,8.2
535876,7.3
535880,6.45
535883,6.6
535891,6.58
535912,7.25
535913,7.0
535931,5.1
535932,7.4
535935,6.47
535938,5.9
535974,7.5
536002,3.6
536005,7.04
536013,6.2
536034,4.1
536040,6.7
536042,2.4
536046,7.3
536047,2.8
536048,7.1
536054,7.1
536092,6.85
536102,3.1
536105,6.3
536110,4.8
536119,5.27
536120,7.1
536137,6.8
536140,5.0
536141,7.6
536153,5.4
536154,7.6
536169,7.6
536172,6.28
536184,6.4
536207,7.75
536237,6.3
536250,6.0
536264,6.2
536265,6.1
536276,5.3
536305,2.0
536306,7.6
536310,5.9
536329,5.5
536339,6.4
536361,4.8
536362,7.6
536390,6.8
536395,6.7
536400,5.8
536404,6.2
536420,5.1
536425,8.0
536428,5.15
536432,5.8
536465,6.25
536469,6.6
536477,6.8
536482,3.5
536485,5.2
536490,6.6
536500,4.9
536523,4.45
536531,6.5
536535,6.4
536537,7.05
536548,5.3
536554,5.5
536557,6.6
536559,6.0
536574,5.9
536588,6.8
536593,4.1
536607,7.6
536613,7.1
536627,4.6
536637,6.1
536662,6.82
536690,7.1
536700,6.35
536702,5.5
536708,1.9
536714,7.25
536721,7.2
536735,6.2
536739,6.4
536742,6.4
536744,6.2
536751,4.4
536764,7.0
536791,7.0
536820,5.98
536843,7.7
536849,7.5
536850,7.0
536851,6.9
536854,8.8
536877,6.1
536879,6.1
536884,7.5
536912,7.6
536918,6.5
536931,4.8
536935,6.4
536937,6.9
536942,6.3
536950,6.78
536955,8.1
536958,7.5
536963,6.54
536970,8.0
536971,5.4
536973,4.0
536974,3.9
536983,6.0
536992,6.8
536997,6.6
537004,3.9
537005,6.0
537013,5.5
537015,6.22
537017,6.4
537041,6.6
537056,3.6
537057,5.1
537059,7.25
537062,6.1
537076,6.8
537086,8.7
537099,7.1
537116,7.8
537117,7.4
537120,4.95
537142,6.0
537159,6.9
537172,6.5
537179,6.3
537185,7.4
537222,4.5
537224,5.68
537243,6.45
537249,6.4
537258,8.3
537271,6.9
537273,3.8
537275,5.7
537291,7.2
537295,6.2
537296,7.5
537317,6.8
537328,6.8
537337,5.75
537342,6.2
537348,6.16
537363,6.2
537373,8.0
537401,6.4
537432,4.5
537435,6.3
537474,6.75
537484,6.0
537497,7.0
537498,7.55
537525,5.6
537526,7.5
537527,5.75
537528,7.1
537546,6.0
537550,7.25
