"","Film","Rating","Actor.Group1","Actor.Group2","Actor.Group3","Actor.Group4","Director","Producer","Writer"
"3265","2303968",3.8,0,17,13,0,3.79999995231628,4.4916666050752,4.67500001192093
"3266","2303972",4.6,0,6,6,0,4.59999990463257,4.59999990463257,4.59999990463257
"3267","2304056",6,0,1,42,0,5.96923076189481,6.0763857453992,5.8045454675501
"3268","2304217",6.3,0,0,37,0,6.35000014305115,5.97750010291735,5.98750013113022
"3269","2304230",3.1,0,3,3,0,3.09999990463257,5.0142857006618,3.09999990463257
"3270","2304413",5.2,0,4,21,0,5.89999985694885,5.51458323622743,5.74499988555908
"3271","2304426",5.1,0,1,32,0,3.96666661898295,5.8159090497277,5.26666673024495
"3272","2304653",6.4,0,0,56,0,6.43333339691162,6.47977434512642,5.95454545454545
"3273","2304947",6.8,0,0,15,0,6.59473687724063,6.36937347775782,6.37692312093881
"3274","2304964",5.1,0,0,14,0,5.80000003178914,5.87598037018495,5.09999990463257
"3275","2305065",6.2,0,0,12,0,6.96666653951009,6.19528265907651,6.96666653951009
"3276","2305104",5.5,0,5,41,0,5.2199999332428,5.84628054460563,5.41111114290026
"3277","2305167",5.2,0,0,51,0,5.19999980926514,5.68999983469645,5.19999980926514
"3278","2305236",5.1,0,0,18,0,5.66470580942491,5.81107140786307,5.81428569555283
"3279","2305341",5.7,0,2,23,0,5.69999980926514,5.76071415628706,6.05000003178914
"3280","2305389",3.7,0,34,7,0,5.35000002384186,3.70000004768372,4.27500003576279
"3281","2305449",6,0,0,9,0,6,6.03333330154419,6
"3282","2305570",4.8,0,6,3,0,4.80000019073486,4.50833350419998,4.80000019073486
"3283","2306029",4.8,0,13,25,0,4.35000014305115,5.79953706264496,5.25000011920929
"3284","2306041",6.5,0,0,4,0,6.5,6.5,6.5
"3285","2306110",7.9,0,0,4,9,7.90000009536743,6.94722229242325,7.90000009536743
"3286","2306123",7.6,0,0,1,2,6,7.16071421759469,7.59999990463257
