«»,Producer, Film, Rating, Budget, Year
40489,2639864,2777382,6.9,"$23,000,000",2011
40490,2640097,2220209,3.8,"$750,000",2013
40491,2640537,3006288,6.3,"$50,000",2013
40492,2640886,2628058,6.9,"$500,000",2005
40493,2641031,2458152,1.5,"$13,000,000",2011
40494,2641031,2458152,1.5,"$13,000,000",2011
40495,2641031,2465679,5.9,"$12,000,000",2012
40496,2641033,2458152,1.5,"$13,000,000",2011
40497,2641206,2869101,5.6,"$6,000,000",1994
40498,2641206,2935288,6.9,"$6,000,000",1996
40499,2642199,2868660,5.6,"$23,000,000",2001
40500,2642261,2695586,7.0,"$200,000",2011
40501,2642261,2695586,7.0,"$200,000",2011
40502,2642261,2695586,7.0,"$200,000",2011
40503,2642369,2980371,7.4,"$400,000",2006
40504,2642369,2980371,7.4,"$400,000",2006
40505,2642429,2339633,6.5,"$10,000,000",1998
40506,2642429,2794623,6.0,"$6,000,000",2012
40507,2642429,2895625,7.6,"$11,000,000",1993
40508,2642478,2449828,7.4,"$100,000",1992
40509,2642478,2836957,7.1,"$100,000",1971
40510,2642494,2192863,4.4,"$20,000,000",2007
40511,2642739,2734924,7.1,"$1,900,000",1987
40512,2642930,2670468,8.0,"$500,000",1991
40513,2643276,2262708,6.9,"$185,000",2006
40514,2643928,2173642,6.5,"$25,000,000",2004
40515,2643928,2269067,5.5,"$45,000,000",1994
40516,2643928,2333665,4.5,"$15,000,000",2001
40517,2643928,2891515,6.5,"$60,000,000",1998
40518,2643928,3007726,5.8,"$75,000,000",2000
40519,2643928,3033328,6.6,"$38,000,000",1996
40520,2645299,2732074,4.1,"$7,000,000",2013
40521,2645299,2860914,5.6,"$4,000,000",2009
40522,2645513,3043867,7.5,"$100,000",2009
40523,2645805,2305341,5.7,"$2,000,000",2010
40524,2645805,2392614,6.1,"$2,000,000",2012
40525,2646667,2641641,6.1,"BRL 3,080,000",2007
40526,2646777,2847749,5.5,"$2,000,000",2009
40527,2647533,2899079,3.4,"$3,000,000",2000
40528,2647727,2385955,5.8,"$50,000,000",2009
40529,2647781,2050593,6.7,"$28,000,000",2014
40530,2647781,2293897,7.7,"$7,000,000",2012
40531,2647781,2340062,3.9,"$3,000,000",2008
40532,2647781,2528683,7.2,"$20,000,000",2010
40533,2647781,2670819,6.3,"$10,000,000",2013
40534,2647781,2794393,6.5,"$15,000,000",2013
40535,2647781,2925649,5.2,"$20,000,000",2009
40536,2648128,2332043,7.3,"$11,000,000",2002
40537,2648128,2661850,6.3,"$50,000,000",2009
40538,2648128,2763348,7.6,"$30,000,000",2004
40539,2648784,2123324,6.3,"$150,000,000",2007
40540,2648784,2590006,5.5,"$90,000,000",2000
40541,2648805,2120408,6.4,"$2,500",2003
40542,2649108,2773782,5.9,"$40,000,000",2002
40543,2649347,2412237,5.3,"$40,000",2007
40544,2649568,2454204,6.5,"NLG 650,000",1972
40545,2649568,2598288,7.0,"PTE 430,000,000",1996
40546,2649838,2753965,5.5,"$1,000,000",2007
40547,2649838,2753965,5.5,"$1,000,000",2007
40548,2650750,2578312,6.6,"€ 30,000",2007
40549,2650772,2539757,7.0,"$3,250,000",2012
40550,2650772,2609349,5.2,"$25,000,000",2008
40551,2652067,2830034,5.5,"$1,000,000",2012
40552,2652067,2830034,5.5,"$1,000,000",2012
40553,2652187,2538039,8.0,"$6,500",2014
40554,2652494,2342679,7.5,"AUD 2,600,000",1982
40555,2652494,2683007,7.6,"AUD 440,000",1977
40556,2652963,2069097,7.6,"$9,000,000",2002
40557,2652963,2086224,7.3,"£10,000,000",2009
40558,2652963,2227543,6.6,"$20,000,000",2004
40559,2652963,2968603,7.4,"£10,000,000",1998
40560,2652963,3006775,7.7,"$11,000,000",2004
40561,2653145,2156963,7.4,"$1,100,000",2011
40562,2653736,2172143,3.9,"$2,625,000",2008
40563,2653859,2749215,7.1,"$1,000,000",1979
40564,2653859,2980039,7.1,"€ 1,000,000",2010
40565,2654015,2738158,6.9,"$100,000",2013
40566,2654015,2738158,6.9,"$100,000",2013
40567,2654137,2541420,6.7,"AUD 1,300,000",2007
40568,2654137,2541420,6.7,"AUD 1,300,000",2007
40569,2654535,2892721,6.1,"$8,800,000",2004
40570,2654608,2416768,7.0,"$9,000,000",2002
40571,2655772,2042129,5.2,"$7,000,000",2006
40572,2655772,3045899,4.8,"$100,000,000",2014
40573,2656106,2797678,7.1,"DKK 2,000,000",2008
40574,2657300,2070696,3.4,"SEK 18,000,000",2007
40575,2657492,2037282,5.1,"$1,000,000",2014
40576,2657610,2481890,6.9,"€ 253,500",2003
40577,2657610,2665927,7.2,"€ 244,000",2008
40578,2657718,2635018,6.8,"$153,000",1949
40579,2657958,2470709,4.3,"$3,000,000",2013
40580,2658040,2091893,3.9,"$150,000",2013
40581,2658087,2122226,7.1,"$1,500,000",2004
40582,2658112,2151172,7.5,"$475,000",2005
40583,2658137,2173286,7.7,"$5,700,000",2009
40584,2658137,2173286,7.7,"$5,700,000",2009
40585,2658137,2434919,5.6,"€ 3,000,000",2012
40586,2658137,2799450,5.8,"€ 1,800,000",2013
40587,2658198,2206080,5.7,"$4,000,000",2012
40588,2658198,2454790,4.1,"$20,000,000",2012
40589,2658375,2122773,5.2,"$2,500,000",2011
40590,2658819,2985066,5.1,"VND 12,000,000,000",2010
40591,2659706,2091928,6.5,"SEK 210,000,000",2008
40592,2659706,2091929,6.6,"€ 25,000,000",2007
40593,2659706,2234095,5.8,"DKK 10,000,000",2004
40594,2659706,2430350,5.4,"$2,200,000",2004
40595,2659706,2536139,2.4,"DKK 25,000",2003
40596,2659706,2638882,5.0,"DKK 3,500,000",2007
40597,2659706,2647706,6.6,"DKK 3,000,000",2009
40598,2659706,2785056,6.0,"DKK 14,500,000",2008
40599,2659706,2785056,6.0,"DKK 14,500,000",2008
40600,2659706,3055655,5.5,"DKK 4,800,000",2001
40601,2659996,2065783,6.7,"$8,000,000",2011
40602,2659996,2598873,7.3,"$4,825,000",2010
40603,2659996,2628058,6.9,"$500,000",2005
40604,2659996,2672482,5.8,"$25,000,000",2008
40605,2659996,2877936,6.2,"$4,000,000",2013
40606,2660084,2228921,6.2,"$1,600",2012
40607,2660219,2189729,4.2,"$2,000,000",1998
40608,2660482,2177589,6.0,"$80,000",2001
40609,2660541,2334326,5.5,"$2,000,000",1999
40610,2660642,2209146,7.1,"$500,000",2008
40611,2660642,2802424,7.1,"$80,000",2010
40612,2660747,2109142,3.9,"$9,000,000",2003
40613,2660747,2447342,5.5,"$6,200,000",2003
40614,2660747,2864186,5.1,"$3,000,000",2011
40615,2661036,2256771,6.8,"€ 213,000",2012
40616,2661036,2654558,5.9,"€ 1,150,000",2005
40617,2661036,2821720,5.6,"€ 1,900,000",2006
40618,2661036,2923730,7.9,"SEK 749,000",2007
40619,2661283,3009122,6.9,"CAD 487",2012
40620,2662233,2745933,8.0,"€ 18,000",2010
40621,2662280,2235990,7.4,"DKK 300,000",2007
40622,2662280,2474817,6.2,"DKK 14,000,000",2002
40623,2662280,3010877,7.6,"DKK 2,200,000",2012
40624,2662306,2404749,3.0,"$2,000,000",1986
40625,2662580,2084155,8.4,"$35,000",2012
40626,2662756,3004902,5.5,"€ 5,500,000",2014
40627,2662756,3004902,5.5,"€ 5,500,000",2014
40628,2662844,3053539,6.7,"$125,000",2014
40629,2662910,2227423,6.4,"€ 1,300,000",2013
40630,2662910,2681665,6.1,"€ 3,200,000",2003
40631,2662910,2686628,4.8,"€ 2,000,000",2011
40632,2663119,2872363,6.8,"CAD 1,300",2010
40633,2663710,2076147,7.2,"$36,000,000",1998
40634,2663710,2171748,8.0,"$52,000,000",2003
40635,2663710,2354379,8.5,"$103,000,000",2000
40636,2663710,2457488,6.7,"$58,000,000",2004
40637,2663710,2522857,6.8,"$140,000,000",2003
40638,2663710,2578488,7.2,"$90,000,000",1997
40639,2663710,2578489,6.9,"$225,000,000",2012
40640,2663710,2578493,6.0,"$140,000,000",2002
40641,2663710,2829225,7.5,"$50,000,000",2007
40642,2663710,2861916,6.9,"$20,000,000",2011
40643,2663710,2894651,6.9,"$126,000,000",2005
40644,2663710,2897151,7.6,"$20,000,000",2008
40645,2663710,2900586,5.9,"$75,000,000",2005
40646,2663710,2903251,7.1,"$16,000,000",2007
40647,2663710,2908050,6.7,"$65,000,000",1998
40648,2663710,2918085,5.9,"$50,000,000",1997
40649,2663710,2926630,7.1,"$48,000,000",2002
40650,2663710,2939582,7.3,"$60,000,000",2004
40651,2663710,2940816,5.9,"$80,000,000",2002
40652,2663710,2942337,5.6,"$8,000,000",1996
40653,2663710,2943102,5.2,"$60,000,000",2003
40654,2663710,2983245,6.2,"$92,000,000",1995
40655,2663800,2138205,6.6,"$25,000,000",2008
40656,2663800,2510555,7.3,"$2,000,000",2000
40657,2663800,2784491,5.9,"$20,000,000",2008
40658,2663800,2794590,7.6,"€ 3,000,000",2006
40659,2663800,2928670,7.1,"CAD 3,500,000",2003
40660,2663880,2457830,5.5,"$12,000,000",1999
40661,2663997,2284078,6.6,"€ 2,600,000",2007
40662,2664052,2877561,7.6,"£1,500",2011
40663,2664299,2031910,4.6,"€ 61,000",2011
40664,2664308,2641097,7.0,"BRL 5,200,000",2007
40665,2664340,2099620,7.2,"BRL 4,000,000",2013
40666,2664665,2244061,7.8,"$1,000",2012
40667,2664665,2244061,7.8,"$1,000",2012
40668,2664693,2548308,6.9,"$1,000,000",2014
40669,2664693,2595441,6.3,"$750,000",2014
40670,2665460,2162977,6.9,"$10,000,000",2003
40671,2666133,2380545,5.5,"$1,250,000",2014
40672,2666438,2212074,4.9,"$35,000,000",2005
40673,2666438,2265979,4.9,"$54,000,000",2001
40674,2666438,2605795,6.7,"$27,000,000",1998
40675,2666438,2623389,6.4,"$8,000,000",1994
40676,2666438,2623965,6.3,"$14,700,000",2009
40677,2666438,2722865,6.5,"$25,000,000",2005
40678,2666438,2760784,7.2,"$15,000,000",1996
40679,2666438,2760792,6.1,"$24,000,000",1997
40680,2666438,2760793,5.5,"$40,000,000",1998
40681,2666438,2760794,6.2,"$40,000,000",2011
40682,2666438,2779267,5.3,"$5,000,000",1989
40683,2666438,2890416,6.4,"$15,000,000",2006
40684,2666438,2890418,5.1,"$15,000,000",2007
40685,2666438,2898646,6.6,"$15,000,000",2009
40686,2666438,2918354,6.3,"$6,000,000",1992
40687,2666438,3003518,4.4,"$20,000,000",1995
40688,2666531,2683109,5.4,"$19,000,000",1998
40689,2666659,2086018,6.0,"$4,000,000",2011
40690,2667210,2061160,5.0,"$26,000,000",2003
40691,2667210,2061161,4.4,"$26,000,000",2003
40692,2667210,2319210,5.6,"£3,500,000",2008
40693,2667210,2556931,5.9,"$4,500,000",1991
40694,2667210,3017494,6.1,"$15,000,000",2011
40695,2667385,2832316,5.4,"DKK 35,000",2010
40696,2667490,3017789,5.9,"$5,000",2007
40697,2667649,2470647,8.2,"$30,000,000",2003
40698,2667649,2470648,8.0,"$30,000,000",2004
40699,2667912,2126501,7.0,"AUD 100,000",2014
40700,2668956,2329266,7.2,"$400,000",2007
40701,2669307,2823131,6.2,"$5,000,000",2010
40702,2669327,2556866,6.2,"$2,500,000",2013
40703,2670210,2640333,6.4,"BRL 1,000,000",2007
40704,2670627,2117096,7.4,"$250,000",2010
40705,2670627,2394408,3.0,"$200,000",2010
40706,2670643,2117096,7.4,"$250,000",2010
40707,2670643,2394408,3.0,"$200,000",2010
40708,2670888,2402356,5.3,"$120,000,000",2010
40709,2670888,2803942,6.5,"$80,000,000",2004
40710,2672098,2231002,6.0,"$25,000,000",2009
40711,2673051,2865449,6.4,"$8,300,000",2010
40712,2673620,2964609,7.0,"$3,400,000",2013
40713,2674689,2643856,6.0,"CZK 44,000,000",2011
40714,2675541,2861405,5.3,"$10,000,000",2007
40715,2675589,2467210,5.8,"€ 1,250,000",2004
40716,2675589,2996666,5.1,"€ 1,325,000",2006
40717,2676811,2327302,6.6,"CAD 8,000,000",2004
40718,2676811,2749264,7.6,"CAD 6,000,000",2004
40719,2676975,2815506,5.4,"$22,000,000",2013
40720,2678142,3040766,7.7,"£235,000",2011
40721,2678280,2946480,7.1,"$1,235,000",2010
40722,2678363,2460204,6.1,"€ 1,360,000",2013
40723,2678425,2273931,4.5,"€ 1,093,000",2012
40724,2680029,2540155,7.8,"€ 130,000",2009
40725,2680029,2736698,8.2,"€ 5,500",2008
40726,2680282,2429988,6.7,"$10,000,000",2008
40727,2680282,2549239,4.9,"$1,200,000",2009
40728,2680282,2609060,5.9,"$17,000,000",2009
40729,2680282,2947847,6.0,"$15,000,000",2004
40730,2680636,2255840,6.9,"$20,000,000",2007
40731,2680636,2301927,6.6,"$25,000,000",2004
40732,2680636,2972142,7.3,"CAD 5,000,000",2006
40733,2680833,2371899,7.9,"$300,000",1979
40734,2680833,2387990,6.1,"$125,000",1978
40735,2680833,3039537,4.4,"$700,000",1980
40736,2681008,2900381,4.2,"$70,000,000",2014
40737,2682158,2107435,3.8,"AUD 500,000",2010
40738,2682184,2506238,6.5,"$1,500,000",2006
40739,2683083,2846562,7.6,"$6,500,000",2005
40740,2683083,2871560,6.7,"$3,000,000",2002
40741,2683083,2878517,6.3,"$17,000,000",2005
40742,2683493,2302474,4.2,"$8,000,000",1993
40743,2683493,2568733,6.3,"$70,000,000",1996
40744,2683708,2240492,4.7,"€ 700,000",2011
40745,2684068,2075247,6.7,"$10,000,000",1992
40746,2684151,2106455,4.4,"$5,500,000",2005
40747,2684151,2137926,5.6,"$5,000,000",2004
40748,2684151,2609349,5.2,"$25,000,000",2008
40749,2684151,2648478,6.5,"$70,000,000",2013
40750,2684151,2688687,5.7,"$35,000,000",2013
40751,2684151,2797554,6.4,"$15,000,000",2013
40752,2684151,2871231,5.9,"$22,000,000",2007
40753,2684151,2939488,5.3,"$2,000,000",2005
40754,2684151,2978793,7.0,"$9,500,000",2010
40755,2684553,2286083,6.6,"$1,100,000",2011
40756,2685116,2170739,6.5,"£1,000,000",2010
40757,2686148,2194902,4.7,"$100,000",2009
40758,2686177,2512489,3.4,"€ 1,000",2009
40759,2686388,2765132,6.9,"$12,000",2008
40760,2686388,2765132,6.9,"$12,000",2008
40761,2686507,2114114,5.6,"$51,000,000",2007
40762,2686507,2191304,7.0,"$100,000,000",2009
40763,2686507,2253281,6.4,"$127,500,000",2000
40764,2687195,2040439,7.2,"$40,000,000",1992
40765,2687195,2126125,4.8,"$85,000,000",2005
40766,2687195,2162971,4.9,"$13,000,000",1993
40767,2687195,2186931,8.0,"$88,000,000",2005
40768,2687195,2726706,6.1,"$40,000,000",1994
40769,2687292,2197679,6.7,"$4,500,000",2009
40770,2687292,2660005,4.9,"€ 850,000",2013
40771,2687376,2224988,5.6,"$12,000,000",2006
40772,2687533,3045481,4.7,"$1,000,000",2006
40773,2687820,2972937,6.3,"$100,000,000",2014
40774,2688213,2101335,6.6,"$130,000,000",2006
40775,2688213,2599809,7.7,"$52,500,000",2001
40776,2688213,2739370,6.9,"$14,500,000",1997
40777,2688213,2886877,7.3,"$105,000,000",2013
40778,2688574,2067125,6.6,"$12,000,000",1990
40779,2689695,2614996,7.1,"$16,000,000",1991
40780,2689695,2739370,6.9,"$14,500,000",1997
40781,2689695,2959186,6.6,"$19,300,000",2005
40782,2690708,2889244,4.7,"$100,000",2014
40783,2691683,2089623,6.9,"MXN 19,000,000",2011
40784,2691699,2061787,6.2,"ARS 500,000",2009
40785,2692405,2043754,6.5,"$4,500,000",1987
40786,2692405,2931636,9.3,"$25,000,000",1995
40787,2693588,2469388,6.0,"€ 400,000",2005
40788,2693651,2444671,7.0,"$5,740,000",2003
40789,2693690,2226084,5.3,"€ 1,900,000",2014
40790,2693690,2970759,5.4,"€ 3,920,000",2004
40791,2693690,3003132,7.0,"$6,000,000",2006
40792,2694297,2603344,5.3,"$500,000",2014
40793,2694297,3006830,6.1,"€ 700,000",2011
40794,2694327,2356981,7.5,"$3,500,000",1999
40795,2694327,2943170,6.8,"$3,000,000",1996
40796,2695045,2832927,7.0,"€ 10,000",2013
40797,2695925,2302381,7.3,"$6,000,000",1997
40798,2695925,2542957,7.1,"€ 4,300,000",2010
40799,2695925,2782591,7.1,"$4,000,000",1986
40800,2695925,2790832,7.2,"£300,000",2008
40801,2695925,2954295,7.7,"£1,500,000",2009
40802,2696352,2274226,7.9,"$10,500,000",1981
40803,2696492,2990557,6.1,"€ 2,600,000",2008
40804,2697709,2634937,5.8,"AUD 4,500,000",2014
40805,2698280,2547545,5.8,"$2,000,000",2008
40806,2698874,2490324,6.7,"€ 1,000,000",2013
40807,2700402,2291859,6.2,"$250,000",2013
40808,2700402,2291859,6.2,"$250,000",2013
40809,2701196,2326005,4.6,"$25,000,000",2008
40810,2701946,2627842,6.0,"$37,000,000",2008
40811,2701990,2358896,4.6,"$53,000,000",1997
40812,2701990,2471695,5.3,"$1,000,000",2005
40813,2702677,2992888,7.7,"$50,000",2004
40814,2702739,2597267,6.4,"$200,000",2014
40815,2702776,2046890,7.2,"CAD 6,000,000",2009
40816,2703024,3023422,7.1,"$65,000,000",2007
40817,2703244,2545189,6.5,"$1,200,000",2012
40818,2703244,3061505,4.3,"$2,000,000",2006
40819,2703764,2790446,3.8,"£5,000",2014
40820,2703896,2996417,6.0,"$2,000,000",2012
40821,2703967,2836735,4.7,"$20,000,000",2014
40822,2705777,2200402,6.9,"CAD 2,100,000",2007
40823,2705777,2293114,6.4,"CAD 2,850,180",2011
40824,2705777,2341712,7.0,"CAD 4,000,000",2014
40825,2705777,2427881,8.2,"$6,800,000",2011
40826,2705861,2145697,6.5,"$12,000,000",1993
40827,2705861,2435047,7.4,"$60,000,000",2009
40828,2705861,2867407,5.7,"$25,000,000",2006
40829,2705861,2905289,6.1,"$20,000,000",2009
40830,2705861,2953686,6.0,"$25,000,000",2008
40831,2705861,2993369,6.5,"$25,000,000",2001
40832,2706023,2206080,5.7,"$4,000,000",2012
40833,2706023,2943500,6.5,"$38,000,000",2009
40834,2706315,2207236,7.7,$200,2005
40835,2707982,2836694,5.8,"CAD 10",2008
40836,2708420,2068863,6.9,"$350,000",2006
40837,2708420,2642677,6.2,"$250,000",2008
40838,2708687,2075535,7.6,"$7,000,000",2000
40839,2708687,2723654,6.2,"$5,000,000",2007
40840,2708687,2865449,6.4,"$8,300,000",2010
40841,2708687,2983706,5.6,"$1,000,000",2000
40842,2708687,2996591,6.9,"$1,000,000",1997
40843,2709167,2860895,5.1,"$24,000,000",2004
40844,2709812,2364916,7.7,"$53,000,000",2007
40845,2710601,2448023,6.7,"$35,000",2010
40846,2710621,2538039,8.0,"$6,500",2014
40847,2710692,3025590,8.3,£250,2013
40848,2711015,2981701,7.2,"€ 5,284,200",2014
40849,2711250,2450590,5.9,"$12,000,000",2013
40850,2711438,2256215,5.9,"$27,000,000",2002
