«»,Producer, Film, Rating, Budget, Year
40851,2711438,2258234,6.7,"$20,000,000",2004
40852,2711438,2296192,4.7,"$40,000,000",2004
40853,2711438,2398497,5.8,"$30,000,000",1999
40854,2711438,2589038,4.9,"$45,000,000",2004
40855,2711438,2674892,7.1,"$40,000,000",2001
40856,2711438,2697643,6.1,"$75,000,000",1999
40857,2711438,2721022,7.1,"$110,000,000",2011
40858,2711438,2772213,5.6,"$39,000,000",1996
40859,2711438,2865674,6.7,"$45,000,000",1994
40860,2711438,2888138,5.8,"$40,000,000",2012
40861,2711438,2894032,6.3,"$58,000,000",2013
40862,2711438,2897669,6.8,"$40,000,000",2006
40863,2711438,2922539,6.7,"$40,000,000",2009
40864,2711438,2955215,6.7,"$19,800,000",2014
40865,2711438,2984476,6.0,"$60,000,000",2003
40866,2711667,2809624,5.5,"$3,000,000",1997
40867,2712374,3028526,7.5,"$6,000,000",2013
40868,2712483,2895260,7.2,"$10,000",2007
40869,2712666,2719311,8.4,"$120,000",2004
40870,2712680,2402816,5.4,"$20,000,000",1999
40871,2712680,3018397,5.5,"$16,000,000",1995
40872,2713036,2781685,5.7,"$5,400,000",2009
40873,2713700,2854950,6.5,"$6,000",2013
40874,2713920,2396901,5.7,"$2,000,000",2001
40875,2714275,2442040,5.3,"$6,000,000",2012
40876,2714574,2228123,7.8,"£695,393",2008
40877,2714574,2954862,7.7,"£1,500,000",2007
40878,2715793,2830679,5.9,"$12,987",2010
40879,2715882,2891472,5.0,"$750,000",2008
40880,2716194,2756418,8.4,"$80,000",2009
40881,2716367,2096183,4.2,"$3,000,000",2014
40882,2716367,2337432,7.2,"$1,000,000",2008
40883,2716367,2874785,5.6,"$1,000,000",2008
40884,2716409,2028230,5.5,"€ 1,500,000",2006
40885,2716409,2387604,5.2,"€ 10,000,000",2008
40886,2716409,2387605,4.7,"€ 10,000,000",2011
40887,2716409,2387605,4.7,"€ 10,000,000",2011
40888,2716409,2767298,6.9,"€ 4,600,000",2009
40889,2717328,2544701,8.0,"$2,500",2009
40890,2717328,2544701,8.0,"$2,500",2009
40891,2718339,3003069,6.8,"€ 7,000,000",2011
40892,2718837,2268264,4.8,"$40,000",2011
40893,2719087,2845191,3.6,"$2,000,000",1997
40894,2719184,2922569,7.5,"$2,000,000",2007
40895,2720228,2969803,8.6,"$10,000",2010
40896,2720228,2969803,8.6,"$10,000",2010
40897,2720505,2107032,6.3,"$4,000,000",2010
40898,2720505,2801516,6.4,"$1,000,000",2004
40899,2720538,2069520,5.8,"$57,000,000",2001
40900,2720548,2393155,6.9,"$500,000",2010
40901,2720777,2664652,7.3,"€ 500",2011
40902,2721799,2441275,6.8,"AUD 449,800",2009
40903,2722476,2177618,7.1,"$950,000",2006
40904,2722483,2398497,5.8,"$30,000,000",1999
40905,2722483,2718394,6.6,"$80,000,000",1997
40906,2722483,2891515,6.5,"$60,000,000",1998
40907,2722483,2915820,6.5,"$5,000,000",1999
40908,2722483,2916528,6.4,"$35,000,000",1999
40909,2722702,2952904,7.2,"$2,400,000",2014
40910,2723300,2136231,6.4,"$1,000,000",2012
40911,2724400,2126853,6.2,"$900,000",1970
40912,2724400,2136112,5.2,"$300,000",1973
40913,2724400,2180046,5.6,"$90,000",1970
40914,2724400,2312815,6.8,"$45,000",1967
40915,2724400,2319963,5.5,"$82,000",1968
40916,2724400,2359656,5.8,"$55,000",1968
40917,2724400,2381358,5.0,"$5,000",1963
40918,2724400,2543036,6.1,"$60,000",1965
40919,2724400,2594458,4.8,"$12,000",1966
40920,2724400,2599663,5.9,"$38,000",1965
40921,2724400,2603273,6.5,"$60,000",1969
40922,2724400,3013811,5.8,"$76,000",1970
40923,2724618,2809216,5.3,"$11,000,000",2011
40924,2724618,2809358,5.8,"$13,500,000",2008
40925,2724625,2101292,6.3,"£4,900,000",2013
40926,2724625,2891556,5.9,"$40,000,000",2013
40927,2724625,2943175,4.9,"$110,000,000",2011
40928,2724625,2943176,5.6,"$120,000,000",2012
40929,2724730,2125965,5.4,"$55,000,000",1994
40930,2724730,2325687,5.0,"$80,000,000",1997
40931,2724730,2442397,5.1,"$50,000,000",1995
40932,2724730,2912479,6.8,"$23,000,000",1991
40933,2724779,2871418,5.5,"$14,000,000",1999
40934,2724808,2313432,5.9,"$30,000,000",1996
40935,2724808,2411220,5.2,"$45,000,000",1994
40936,2724808,2439009,6.6,"$85,000,000",2008
40937,2724808,2702286,6.0,"$10,000,000",1981
40938,2724808,2890889,6.9,"$85,000,000",2007
40939,2724808,3028927,6.4,"$70,000,000",2001
40940,2725597,2212812,7.1,"$196,000",2012
40941,2725803,2177401,5.9,"$30,000",2012
40942,2726495,2103129,7.6,"$2,100,000",2013
40943,2726501,2118688,6.3,"$10,000",2013
40944,2726501,2742012,6.9,"£8,000",2006
40945,2726602,2988547,6.5,"€ 3,600,000",2011
40946,2726907,2339760,6.4,"$15,000,000",2007
40947,2726907,2413944,7.0,"$20,000,000",2007
40948,2726907,2756143,5.9,"$4,600,000",2008
40949,2727212,2256215,5.9,"$27,000,000",2002
40950,2727212,2328373,6.2,"$40,000,000",1992
40951,2727697,2522051,7.8,"€ 10,000,000",2013
40952,2728343,2788757,4.5,"$2,000,000",2008
40953,2728573,2240991,7.5,"$4,000,000",2014
40954,2728591,2331654,8.0,"DKK 2,000,000",2009
40955,2728591,2960258,7.7,"DKK 130,000",2010
40956,2728854,2069614,6.2,"CAD 1,200,000",2014
40957,2729005,2704778,5.7,"CAD 1,800,000",2008
40958,2729035,2156818,5.8,"$55,000,000",2012
40959,2729035,2176793,5.7,"CAD 5,000,000",2010
40960,2729035,2360052,5.7,"$20,000,000",1998
40961,2729035,2588325,6.2,"$35,000,000",2006
40962,2729035,2669688,5.6,"$35,000,000",2013
40963,2729035,2732999,6.0,"$60,000,000",2009
40964,2729035,2818243,6.8,"$20,000,000",2007
40965,2729035,2949828,8.3,"$100,000,000",2013
40966,2730152,2383506,5.0,"$4,000,000",1996
40967,2730152,2542827,6.0,"$12,000,000",1995
40968,2730165,2125453,7.0,"FRF 50,000,000",2001
40969,2730165,2125453,7.0,"FRF 50,000,000",2001
40970,2730540,3008151,5.8,"$300,000",2010
40971,2730997,2026385,6.0,"$1,000,000",2013
40972,2730997,2026940,5.0,"$850,000",2013
40973,2731028,2695308,5.6,"$160,000,000",2006
40974,2731085,2327705,6.0,"$850,000",2013
40975,2731146,2648488,5.3,"$24,000",2000
40976,2731189,2666743,6.8,"$1,000,000",2004
40977,2731466,2823109,6.3,"AUD 1,000,000",2009
40978,2732120,2900491,4.7,"$30,000,000",2014
40979,2732121,2669179,6.8,"$16,000,000",1997
40980,2732121,2914878,6.8,"AUD 600,000",1979
40981,2732121,3024950,6.7,"$500,000",1978
40982,2734581,2098750,5.1,"$5,000,000",2014
40983,2734619,2873404,5.2,"$125,000",2008
40984,2734999,2802424,7.1,"$80,000",2010
40985,2735811,2207236,7.7,$200,2005
40986,2736534,2676983,2.3,"$1,000,000",2014
40987,2737134,2134792,4.5,"$9,000,000",2006
40988,2737141,2044655,4.8,"$250,000",1981
40989,2737335,2950039,6.5,"€ 2,000,000",2012
40990,2737668,2602049,4.3,"£2,320,000",2010
40991,2738891,2681464,2.9,"$3,000,000",2007
40992,2738943,2554878,8.2,"$200,000",2013
40993,2738943,2554878,8.2,"$200,000",2013
40994,2739667,2077360,5.3,"$500,000",2001
40995,2739667,2161871,5.6,"$1,500,000",2002
40996,2739667,2161874,4.3,"$10,000,000",2010
40997,2740202,2743521,6.9,"$2,500",2009
40998,2740277,2154354,4.6,"€ 147,000",2010
40999,2740912,2550686,5.6,"AUD 2,050,000",2013
41000,2741131,2598139,3.5,"€ 10,000,000",2008
41001,2741131,2785642,6.5,"ESP 1,200,000",2002
41002,2741173,2666893,4.3,"$10,000",2011
41003,2741771,2246553,7.5,"€ 32,000",2006
41004,2742378,2942236,6.3,"$7,000,000",2014
41005,2742584,2598615,7.2,"$5,000",2010
41006,2742693,2205466,5.7,"$30,000,000",2003
41007,2742761,2214525,7.8,"$1,000,000",2013
41008,2742761,2344065,8.6,"INR 184,000,000",2012
41009,2742761,2867150,6.6,"PLN 34,148,170",2013
41010,2742976,2173616,5.5,"$2,000,000",2011
41011,2742985,3055448,5.8,"DKK 11,000,000",2002
41012,2743249,2389350,7.2,"$16,000,000",1986
41013,2743378,2513254,6.7,"$900,000",2011
41014,2743501,2866276,6.1,"$10,000,000",2013
41015,2743501,2866311,6.4,"$6,000,000",2010
41016,2743501,2887749,6.8,"$25,000,000",2011
41017,2743501,2889286,3.8,"$5,000,000",2009
41018,2743501,3031709,4.8,"$7,000,000",2014
41019,2743646,2723265,2.9,"$1,600,000",2007
41020,2745002,2437629,5.7,"PHP 90",2005
41021,2745002,2752236,7.2,"PHP 2,500,000",1998
41022,2745007,2437629,5.7,"PHP 90",2005
41023,2745007,2783234,5.9,"$350,000",2005
41024,2745058,2721022,7.1,"$110,000,000",2011
41025,2745058,2779576,6.8,"$39,000,000",2007
41026,2745058,2806798,5.8,"$26,000,000",2010
41027,2745058,3032232,4.8,"$6,000,000",2009
41028,2745179,2019209,4.7,"$10,000,000",1998
41029,2745392,2255049,6.6,"$10,000,000",2009
41030,2745392,2502897,6.2,"AUD 1,000,000",2001
41031,2746538,2083203,8.0,"$30,000",2013
41032,2746552,2308595,7.5,"$6,000,000",2003
41033,2746552,2782580,8.1,"$9,000,000",2007
41034,2746828,2101316,6.2,"$63,000,000",2002
41035,2746828,2101319,7.0,"$17,000,000",1997
41036,2746828,2101321,6.6,"$33,000,000",1999
41037,2746828,2341402,5.8,"$50,000,000",1996
41038,2746828,2598201,5.7,"$8,000,000",1991
41039,2747088,2051018,6.6,"$1,200,000",2013
41040,2747120,2096183,4.2,"$3,000,000",2014
41041,2747120,2946480,7.1,"$1,235,000",2010
41042,2747269,2154033,2.3,"$1,500,000",2005
41043,2747269,2371028,3.1,"$2,500,000",2013
41044,2747269,2977245,3.8,"$200,000",2000
41045,2748103,2605233,7.2,"$3,000,000",1994
41046,2748103,2680458,6.9,"$100,000,000",2003
41047,2749111,2472330,7.3,"$207,000,000",2005
